Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
00091,="23:12:35,148",0x78DD633,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00092,="23:12:36,139",0x78DFD36,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00093,="23:12:37,159",0x78E243A,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00094,="23:12:38,149",0x78E4B3D,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00095,="23:12:39,140",0x78E7255,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00096,="23:12:40,159",0x78E9959,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00097,="23:12:41,150",0x78EC05D,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00098,="23:12:42,140",0x78EE760,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00099,="23:12:45,350",0x78F6456,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00100,="23:12:46,369",0x78F8B82,ch1,Receive,0x0016,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00101,="23:12:47,359",0x78FB31C,ch1,Receive,0x0056,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00102,="23:12:48,380",0x78FDA79,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00103,="23:12:49,370",0x790017D,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00104,="23:12:50,390",0x7902880,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00105,="23:12:51,379",0x7904F98,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00106,="23:12:52,399",0x790769C,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00107,="23:12:53,388",0x7909D9F,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00108,="23:12:54,379",0x790C4A3,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
00109,="23:12:55,398",0x790EBBB,ch1,Receive,0x07D6,Data,Standard,0x08,x| AA BB CC DD 11 22 33 44 
